Nome;Email;Telefone;CPF;Origem;Procedimento;Status;Data Criação;WhatsApp
João Silva;joão.silva1@email.com;(71) 96809-2606;066.788.705-90;Instagram;Abdominoplastia;Contatado;2026-03-03T17:24:25.164Z;Não
Fernando Costa;fernando.costa58@email.com;(71) 94634-4030;353.358.626-02;Facebook;Mamoplastia;Perdido;2026-03-02T21:48:06.240Z;Sim
Ricardo Souza;ricardo.souza19@email.com;(71) 94493-8410;458.808.075-09;Instagram;Mamoplastia + Abdominoplastia;Convertido;2026-03-02T15:10:36.975Z;Sim
Gabriela Nascimento;gabriela.nascimento46@email.com;(71) 94829-3720;405.746.095-04;TikTok;Blefaroplastia;Novo;2026-03-01T23:03:43.577Z;Sim
Leonardo Almeida;leonardo.almeida11@email.com;(71) 92734-9964;071.197.945-66;Facebook;Próteses;Contatado;2026-03-01T15:59:05.797Z;Não
Thiago Souza;thiago.souza6@email.com;(71) 92956-1050;768.752.707-06;Site;Blefaroplastia;Novo;2026-02-26T15:48:37.094Z;Sim
Yasmin Ferreira;yasmin.ferreira32@email.com;(71) 92446-2126;943.722.484-66;Instagram;Blefaroplastia;Contatado;2026-02-25T14:53:06.700Z;Não
Vinicius Costa;vinicius.costa23@email.com;(71) 94472-8942;824.313.359-33;Facebook;Lipo HD;Contatado;2026-02-23T16:18:11.245Z;Não
Daniel Carvalho;daniel.carvalho31@email.com;(71) 96455-5210;693.130.255-82;Indicação;Lipo HD;Novo;2026-02-23T15:25:45.264Z;Sim
Xavier Ferreira;xavier.ferreira30@email.com;(71) 91888-9687;175.908.379-89;Facebook;Blefaroplastia;Novo;2026-02-23T02:04:31.970Z;Sim
Ursula Silva;ursula.silva36@email.com;(71) 98188-5879;391.295.524-78;Indicação;Blefaroplastia;Contatado;2026-02-20T13:13:30.277Z;Sim
Marcos Oliveira;marcos.oliveira10@email.com;(71) 92247-7434;257.243.558-68;Facebook;Mamoplastia;Convertido;2026-02-20T04:11:43.475Z;Sim
Natalia Rodrigues;natalia.rodrigues17@email.com;(71) 99970-5501;794.955.347-20;TikTok;Mamoplastia + Abdominoplastia;Novo;2026-02-19T11:36:14.230Z;Sim
Daniel Almeida;daniel.almeida8@email.com;(71) 92446-7015;502.579.493-56;Site;Rinoplastia;Contatado;2026-02-18T01:27:15.352Z;Sim
Henrique Silva;henrique.silva55@email.com;(71) 97963-4481;569.653.999-88;Indicação;Próteses;Perdido;2026-02-14T23:35:48.407Z;Sim
Yasmin Ferreira;yasmin.ferreira50@email.com;(71) 99869-6689;158.403.913-28;Facebook;Mamoplastia;Convertido;2026-02-12T08:00:52.285Z;Sim
Henrique Costa;henrique.costa33@email.com;(71) 98293-5353;957.117.279-07;TikTok;Mamoplastia;Novo;2026-02-12T00:09:58.322Z;Não
Vinicius Lima;vinicius.lima3@email.com;(71) 92635-8406;369.282.518-83;TikTok;Abdominoplastia;Qualificado;2026-02-09T20:48:31.688Z;Não
Xavier Rodrigues;xavier.rodrigues29@email.com;(71) 99277-1677;633.543.854-21;Facebook;Otoplastia;Convertido;2026-02-08T22:16:57.663Z;Sim
Thiago Rodrigues;thiago.rodrigues21@email.com;(71) 91771-6078;800.787.537-91;Indicação;Lipoaspiração;Contatado;2026-02-08T15:17:54.519Z;Sim
Eduarda Ferreira;eduarda.ferreira15@email.com;(71) 94663-9727;698.220.398-08;Instagram;Lipoaspiração;Contatado;2026-02-04T10:45:22.541Z;Não
Gabriela Oliveira;gabriela.oliveira38@email.com;(71) 99496-1480;936.672.052-87;Indicação;Lipoaspiração;Contatado;2026-02-03T17:16:10.315Z;Sim
Ursula Oliveira;ursula.oliveira27@email.com;(71) 95045-3343;923.356.880-65;Facebook;Blefaroplastia;Novo;2026-02-03T12:11:12.115Z;Não
Thiago Carvalho;thiago.carvalho26@email.com;(71) 95659-4444;362.349.737-10;Facebook;Mamoplastia + Abdominoplastia;Convertido;2026-02-03T07:46:21.008Z;Sim
João Monteiro;joão.monteiro13@email.com;(71) 99826-8922;877.687.193-28;Site;Próteses;Perdido;2026-02-02T17:00:59.643Z;Sim
Henrique Nascimento;henrique.nascimento54@email.com;(71) 94458-8330;256.886.884-83;TikTok;Rinoplastia;Qualificado;2026-02-02T06:16:44.959Z;Sim
Carla Carvalho;carla.carvalho0@email.com;(71) 99752-8223;411.010.291-02;TikTok;Mamoplastia + Abdominoplastia;Novo;2026-02-01T09:32:32.726Z;Sim
Xavier Rodrigues;xavier.rodrigues34@email.com;(71) 94156-5040;794.398.246-03;Facebook;Rinoplastia;Contatado;2026-02-01T08:24:23.193Z;Sim
Isabela Silva;isabela.silva24@email.com;(71) 93418-6528;348.154.960-13;TikTok;Lipoaspiração;Qualificado;2026-01-31T04:30:47.884Z;Não
Isabela Rodrigues;isabela.rodrigues37@email.com;(71) 98671-8901;002.324.291-46;Site;Abdominoplastia;Novo;2026-01-30T17:00:37.847Z;Sim
Gabriela Santos;gabriela.santos39@email.com;(71) 92242-4115;793.299.777-15;TikTok;Lipo HD;Convertido;2026-01-30T14:26:36.812Z;Não
Carla Costa;carla.costa18@email.com;(71) 91648-5041;682.613.202-86;Site;Rinoplastia;Novo;2026-01-29T05:59:30.175Z;Não
Yasmin Araujo;yasmin.araujo28@email.com;(71) 92870-7261;321.385.975-39;Facebook;Rinoplastia + Otoplastia;Convertido;2026-01-29T05:24:42.578Z;Sim
Carla Silva;carla.silva52@email.com;(71) 93368-4570;722.630.978-56;Indicação;Blefaroplastia;Novo;2026-01-28T15:56:10.902Z;Sim
Daniel Monteiro;daniel.monteiro44@email.com;(71) 95100-6324;159.925.244-95;Facebook;Lipo HD;Qualificado;2026-01-27T15:16:12.824Z;Sim
Karina Araujo;karina.araujo25@email.com;(71) 93091-5047;964.232.655-85;Facebook;Próteses;Perdido;2026-01-26T00:40:31.892Z;Sim
Bruno Rodrigues;bruno.rodrigues57@email.com;(71) 93751-7828;454.631.545-70;TikTok;Lipo HD;Novo;2026-01-24T18:31:51.211Z;Sim
Daniel Mendes;daniel.mendes35@email.com;(71) 92241-5946;488.768.945-43;TikTok;Próteses;Contatado;2026-01-23T14:54:43.193Z;Sim
Octavio Oliveira;octavio.oliveira4@email.com;(71) 94219-2154;425.352.917-89;Instagram;Blefaroplastia;Convertido;2026-01-23T03:43:55.866Z;Sim
Henrique Souza;henrique.souza47@email.com;(71) 92695-7095;315.910.921-67;Facebook;Lipo HD;Qualificado;2026-01-23T01:39:16.604Z;Sim
Fernando Almeida;fernando.almeida41@email.com;(71) 92446-7080;069.187.930-39;Site;Mamoplastia;Qualificado;2026-01-19T06:17:57.712Z;Sim
Gabriela Rodrigues;gabriela.rodrigues2@email.com;(71) 94737-1852;650.008.996-01;Site;Mamoplastia + Abdominoplastia;Contatado;2026-01-18T23:00:30.528Z;Sim
Yasmin Rodrigues;yasmin.rodrigues20@email.com;(71) 94386-7800;715.860.703-80;Site;Mamoplastia;Novo;2026-01-18T20:59:52.403Z;Sim
Zilda Ferreira;zilda.ferreira56@email.com;(71) 95231-1543;444.598.983-57;Instagram;Mamoplastia + Abdominoplastia;Novo;2026-01-16T13:50:06.412Z;Sim
Karina Oliveira;karina.oliveira5@email.com;(71) 95176-6103;920.881.784-90;Facebook;Lipoaspiração;Contatado;2026-01-15T19:55:40.587Z;Sim
William Mendes;william.mendes14@email.com;(71) 98088-5343;480.276.645-94;Site;Mamoplastia + Abdominoplastia;Contatado;2026-01-14T17:01:47.043Z;Sim
Eduarda Barbosa;eduarda.barbosa43@email.com;(71) 92942-3160;884.297.200-22;Facebook;Rinoplastia;Novo;2026-01-13T23:56:02.926Z;Não
Thiago Lima;thiago.lima51@email.com;(71) 91472-1737;168.017.288-30;TikTok;Blefaroplastia;Convertido;2026-01-13T18:32:25.636Z;Sim
